ACCT	Accountancy
ANTH	Anthropology
ARAB	Arabic
ARCH	Architectural Studies
ARTS	Courses offered by Arts Fac
BCHE	Biochemistry
BCME	Chinese Medicine
BIOL	Biology
BMED	Maths & Maths Education
BMEG	Biomedical Engineering
BMJC	Jointly offered-Bio Pg Com/SBS
BSCG	Gerontology
CCAN	Cantonese
CCSS	Contemporary China Studies
CENG	Computer Engineering
CHEM	Chemistry
CHES	Chinese Studies
CHLL	Chinese Language & Literature
CHLT	Chinese Proficiency Courses
CHPR	Community Health Practice
CLED	Chinese Language Education
CMBI	Cell & Molecular Biology
COMM	Communication
CPTH	Putonghua
CSCI	Computer Science
CUMT	Cultural Management
CURE	Cultural & Religious Studies
DSME	Decision Sciences & Managerial
ECON	Economics
EDUC	Education
ELED	English Language Education
ELEG	Electronic Engineering
ELTU	English Language Teaching Unit
ENER	Energy Engineering
ENGE	English
ENGG	Courses offered by Fac of Erg
ENSC	Environmental Science
ESGS	Earth System and GeoInfo Sci
ESSC	Earth System Science-UG Major
ESTR	Courses for ELITE Stream
FAAS	Fine Arts
FINA	Finance
FNSC	Food & Nutritional Sciences
FREN	French
GDRS	Gender Studies
GECC	GE - Chung Chi College
GECW	GE - CW Chu College
GELD	Leadership Development Program
GEMC	GE - Morningside College
GENA	GE - New Asia College
GERM	German
GESC	GE - Shaw College
GESH	GE - S.H. Ho College
GEUC	GE - United College
GEWS	GE - Lee Woo SIng College
GEYS	GE - Wu Yee Sun College
GLBS	Global Studies
GLEF	Global Economics and Finance
GPAD	Government & Public Admin
GRMD	Geography & Resource Mgt
HIST	History
HKSL	Hong Kong Sign Language
HTMG	Hotel And Tourism Management
IASP	International Asian Studies
IBBA	Integrated BBA Programme
IERG	Information Engineering
IPCE	Putonghua, Cantonese & English
ITAL	Italian
JASP	Japanese Studies
KORE	Korean
LAWS	Law
LING	Linguistics
LSCI	Life Sciences Courses
LSED	Liberal Studies
MAEG	Mechanical & Automation Engg
MATH	Mathematics
MBTE	Molecular Biotechnology
MEDF	Medicine Faculty Package
MGNT	Management
MKTG	Marketing
MUSC	Music
NURS	Nursing
PHAR	Pharmacy
PHED	Physical Education
PHIL	Philosophy
PHPC	Public Health
PHYS	Physics
PSYC	Psychology
RMSC	Risk Management Science
RUSS	Russian
SBMS	Biomedical Sciences
SEEM	Systems Engineering & Engg Mgt
SOCI	Sociology
SOWK	Social Work
SPAN	Spanish
SPED	Sports Science & Physical Educ
STAT	Statistics
THAI	Thai
THEO	Theology
TRAN	Translation
UGEA	UGEA Chinese Cultural Heritage
UGEB	UGEB Nature Science & Tech
UGEC	UGEC Society & Culture
UGED	UGED Self & Humanity
UGFH	UGFH In Dialogue with Humanity
UGFN	UGFN In Dialogue with Nature
URSP	Urban Studies
